model_name,count,avg_score,median_score,min_score,max_score,avg_missing,avg_issues,total_cost,avg_cost,avg_total_tokens,avg_latency_s,avg_generation_time_s,avg_tps_generation,avg_score_per_dollar,avg_score_per_1k_tokens,avg_score_per_second,length_stop_rate,missing_stats_rate
Qwen3-235B-A22B-Thinking,10,8.85,8.82,8.12,10.0,2.0,1.6,0.011,0.001,2349.6,28.912,28.083,86.41,33965.482,4.535,0.348,0.0,0.0
Qwen3-14B,10,7.764,7.78,5.54,9.35,2.7,1.8,0.005,0.001,1537.6,22.38,20.672,79.931,21471.61,5.637,0.38,0.0,0.0
Qwen3-32B,10,7.469,7.305,5.07,9.36,2.5,1.8,0.005,0.001,1442.7,29.96,29.222,89.882,15616.479,5.964,0.408,0.0,0.0
Llama 4 Maverick,10,7.288,7.11,4.5,9.44,2.6,1.5,0.008,0.001,854.5,10.742,9.922,113.482,12476.929,10.124,0.813,0.0,0.0
Llama 4 Scout,10,6.255,6.79,3.7,8.54,2.9,2.1,0.003,0.0,837.8,13.425,12.384,258.41,28461.316,8.171,0.967,0.0,0.0
